                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 3.3304,                 1.7441,                 1.7668,                0.40683,                0.46426,                0.48234,                0.26054,                  2.963,                 1.9191,                 1.8813,              0.0005743,              0.0005743,              0.0005743
                     43,                 3.3396,                 1.8077,                 1.8022,                0.61446,                0.46446,                0.52555,                0.27335,                 3.2714,                 1.8298,                 1.8981,              0.0005842,              0.0005842,              0.0005842
                     45,                 3.2774,                 1.7141,                 1.7387,                0.46997,                0.36311,                0.40529,                0.21066,                 2.9981,                 2.0312,                 1.9258,              0.0005644,              0.0005644,              0.0005644
                     44,                 3.3304,                 1.7441,                 1.7668,                0.40683,                0.46426,                0.48234,                0.26054,                  2.963,                 1.9191,                 1.8813,              0.0005743,              0.0005743,              0.0005743
                     46,                 3.0404,                 1.7267,                 1.7393,                0.67246,                0.40645,                0.52191,                0.28944,                 2.9644,                 1.7552,                 1.9248,              0.0005545,              0.0005545,              0.0005545
                     45,                 3.2774,                 1.7141,                 1.7387,                0.46997,                0.36311,                0.40529,                0.21066,                 2.9981,                 2.0312,                 1.9258,              0.0005644,              0.0005644,              0.0005644
                     47,                 2.9411,                 1.7215,                 1.7411,                0.49287,                0.51296,                0.53487,                0.28501,                 2.7757,                 1.7312,                  1.846,              0.0005446,              0.0005446,              0.0005446
                     46,                 3.0404,                 1.7267,                 1.7393,                0.67246,                0.40645,                0.52191,                0.28944,                 2.9644,                 1.7552,                 1.9248,              0.0005545,              0.0005545,              0.0005545
                     48,                   3.09,                 1.6869,                 1.7348,                0.50492,                0.49528,                0.53087,                0.29007,                 2.9432,                 1.7745,                 1.8834,              0.0005347,              0.0005347,              0.0005347
                     47,                 2.9411,                 1.7215,                 1.7411,                0.49287,                0.51296,                0.53487,                0.28501,                 2.7757,                 1.7312,                  1.846,              0.0005446,              0.0005446,              0.0005446
                     49,                 3.1386,                 1.7103,                 1.7654,                0.61551,                0.49703,                0.52905,                 0.2928,                 2.7357,                 1.6816,                 1.8411,              0.0005248,              0.0005248,              0.0005248
                     48,                   3.09,                 1.6869,                 1.7348,                0.50492,                0.49528,                0.53087,                0.29007,                 2.9432,                 1.7745,                 1.8834,              0.0005347,              0.0005347,              0.0005347
                      0,                  14.41,                 4.1624,                 4.2153,                0.00248,                0.50564,                0.00394,                0.00131,                 10.391,                 4.2691,                 4.1871,             0.00032456,             0.00032456,             0.00032456
